District,Year,Rice_Area,Rice_Production,Rice_Yield,Groundnut_Area,Groundnut_Production,Groundnut_Yield,Jowar_Area,Jowar_Production,Jowar_Yield,Bajra_Area,Bajra_Production,Bajra_Yield,Maize_Area,Maize_Production,Maize_Yield,Total_Area,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,GW_Jan,GW_May,GW_Annual_Mean,GW_Max_Depth,Crop_Water_Stress_Index
Cuddalore,2012,111958.0,339286.0,3.030475714107076,11002.0,40010.0,3.6366115251772406,0.0,,,0.0,,,15171.0,23212.0,1.530024388636214,138131.0,0.8105204479805402,0.07964902882046752,0.0,0.0,0.10983052319899227,2.02,6.55,5.531666666666666,8.78,2237.746776610609
Cuddalore,2013,127485.0,565960.0,4.439424245989724,11670.0,45274.0,3.8795201371036847,75.0,92.0,1.2266666666666666,3559.0,8326.0,2.3394211857263274,20520.0,78405.0,3.820906432748538,163309.0,0.780636707101262,0.07145962561769406,0.0004592520926587022,0.021793042636964282,0.12565137255142092,6.01,8.24,7.351666666666667,8.37,2182.871733952201
Cuddalore,2014,134677.0,641958.0,4.766649093757657,11372.0,53028.0,4.663032008441787,106.0,213.0,2.009433962264151,3363.0,11099.0,3.3003270889087126,23911.0,166934.0,6.981472962234955,173429.0,0.7765540941826338,0.06557150188261479,0.0006112011255326387,0.019391220614776074,0.1378719821944427,6.04,7.12,6.8775,9.54,2180.587445006314
Cuddalore,2015,139987.0,507130.0,3.622693535828327,9626.0,62270.0,6.468938292125493,21.0,28.0,1.3333333333333333,3490.0,10336.0,2.9616045845272208,22704.0,80727.0,3.5556289640591965,175828.0,0.7961587460472734,0.05474668425961735,0.00011943490229087518,0.01984894328548354,0.12912619150533475,5.99,6.51,6.329090909090909,7.29,2208.1181609299997
Cuddalore,2016,131906.0,459908.0,3.4866344214819645,8597.0,64944.0,7.55426311504013,13.0,7.0,0.5384615384615384,4243.0,17153.0,4.042658496346925,20558.0,33340.0,1.62175308882187,165317.0,0.7978973729259544,0.05200312127609381,7.863680081298354e-05,0.02566584198842224,0.12435502700871659,3.76,5.67,5.41,6.39,2206.293968557378
Cuddalore,2017,131222.0,564541.0,4.302182560851077,10120.0,74384.0,7.350197628458498,17.0,19.0,1.1176470588235294,5217.0,19882.0,3.811002491853556,18857.0,123524.0,6.550564777005887,165433.0,0.7932032907581922,0.06117280107354639,0.00010276063421445539,0.03153542521745964,0.11398572231658738,6.27,7.65,7.024545454545454,7.93,2193.6499972798656
Cuddalore,2018,133360.0,499562.0,3.745965806838632,9680.0,59548.0,6.151652892561984,19.0,22.0,1.1578947368421053,3619.0,12021.0,3.3216358109975133,21667.0,117518.0,5.42382424885771,168345.0,0.7921827200095043,0.05750096527963409,0.00011286346490837268,0.021497519973863198,0.12870593127209004,6.11,7.64,6.999090909090909,7.84,2201.082895244884
Cuddalore,2019,132151.0,495309.0,3.74805336319816,9954.0,52429.0,5.267128792445249,20.0,24.0,1.2,4031.0,14126.0,3.5043413545026048,22415.0,181193.0,8.083560115993754,168571.0,0.7839486032591608,0.05904930266771865,0.00011864436943483755,0.02391277265959151,0.13297067704409418,5.95,8.0,7.002727272727273,8.24,2188.1337833909747
Cuddalore,2020,136834.0,441804.0,3.2287589341830247,11102.0,62769.0,5.653846153846154,169.0,191.0,1.1301775147928994,5588.0,18189.0,3.2550107372942017,23259.0,103714.0,4.459091104518681,176952.0,0.7732831502328315,0.06274017812740178,0.0009550612595506126,0.031579185315791854,0.13144242506442425,4.53,6.78,5.776666666666666,7.01,2166.979180794792
Cuddalore,2021,142741.0,493838.0,3.4596787187983837,10863.0,67879.0,6.248642179876645,61.0,65.0,1.0655737704918034,5464.0,19851.0,3.63305270863836,23099.0,150178.0,6.501493571150267,182228.0,0.7833099194415787,0.05961213424940185,0.00033474548367978574,0.02998441512830081,0.12675878569703888,3.45,5.89,4.870909090909091,5.99,2182.2255635796914
Cuddalore,2022,138837.0,501580.0,3.612725714326873,11747.0,68349.0,5.818421724695667,1.0,1.0,1.0,4621.0,15985.0,3.459207963644233,24922.0,146454.0,5.876494663349651,180128.0,0.7707685645763013,0.06521473618759993,5.551607745603126e-06,0.02565397939243205,0.13835716823592112,3.71,4.55,3.958181818181818,4.71,2168.4302273938533
Dharmapuri,2011,27067.0,128226.0,4.737355451287546,17069.0,54504.0,3.1931571855410392,9200.0,12461.0,1.3544565217391304,1515.0,3544.0,2.3392739273927394,3643.0,20727.0,5.689541586604447,58494.0,0.46273122029609876,0.2918077067733443,0.15728108865866586,0.025900092317160735,0.0622798919547304,5.93,7.19,6.821,8.77,1643.828426847198
Dharmapuri,2012,12003.0,53669.0,4.471298841956178,12043.0,26805.0,2.225774308727061,0.0,,,0.0,,,2503.0,8868.0,3.542948461845785,26549.0,0.45210742400843723,0.45361407209311083,0.0,0.0,0.09427850389845192,5.52,10.94,8.535,10.94,1697.016836792346
Dharmapuri,2013,26689.0,132535.0,4.965903555772041,13657.0,33598.0,2.4601303360913818,17776.0,19025.0,1.0702632763276327,472.0,1038.0,2.199152542372881,13435.0,88412.0,6.580721994789728,72029.0,0.37053131377639564,0.18960418720237682,0.24678948756750754,0.006552916186535978,0.18652209526718405,8.42,13.77,10.299166666666666,14.58,1515.1327937358565
Dharmapuri,2014,18303.0,95163.0,5.199311588264219,8412.0,23534.0,2.797669995244888,17365.0,45461.0,2.617967175352721,641.0,2758.0,4.302652106084244,14137.0,92302.0,6.529108014430219,58858.0,0.31096877229943254,0.14292024873424172,0.29503211118284683,0.010890618097794692,0.2401882496856842,9.06,10.72,9.7075,11.12,1419.4468041727548
Dharmapuri,2015,33349.0,149426.0,4.480674083180905,10515.0,29049.0,2.7626248216833096,19551.0,22061.0,1.128382179939645,1543.0,6856.0,4.443292287751135,10061.0,60751.0,6.038266573899215,75019.0,0.44454071635185755,0.14016449166211226,0.2606139777922926,0.020568122742238633,0.13411269145149896,9.78,8.89,8.786363636363637,10.34,1603.1085458350553
Dharmapuri,2016,11432.0,42883.0,3.751137158852344,7677.0,10761.0,1.4017194216490816,15077.0,5769.0,0.3826358028785567,438.0,1259.0,2.874429223744292,5852.0,24182.0,4.132262474367738,40476.0,0.28243897618341735,0.1896679513785947,0.3724923411404289,0.010821227394011266,0.1445795039035478,4.8,8.47,7.907272727272727,9.67,1334.3339262773004
Dharmapuri,2017,22233.0,107211.0,4.822156254216705,10874.0,33486.0,3.079455582122494,22144.0,34911.0,1.576544436416185,431.0,514.0,1.192575406032483,6945.0,57461.0,8.27372210223182,62627.0,0.35500662653488113,0.1736311814393153,0.35358551423507434,0.006882015744008175,0.11089466204672106,10.78,11.28,10.78,11.87,1444.4840084947386
Dharmapuri,2018,3889.0,17025.0,4.377732064798149,9585.0,19025.0,1.9848721961398017,32134.0,46139.0,1.4358312068214352,632.0,1782.0,2.819620253164557,6244.0,34033.0,5.4505124919923125,52484.0,0.0740987729593781,0.18262708635012576,0.6122627848487158,0.012041765109366664,0.11896959073241369,9.37,11.06,11.269090909090908,12.19,944.038183065315
Dharmapuri,2019,15812.0,67791.0,4.287313432835821,11491.0,47673.0,4.148725089200243,41464.0,82512.0,1.989967200463052,389.0,1083.0,2.7840616966580978,2530.0,18624.0,7.3612648221343875,71686.0,0.2205730547108222,0.1602962921630444,0.5784114052953157,0.005426443099070948,0.035292804731746785,13.18,13.97,13.117272727272727,14.29,1161.138855564545
Dharmapuri,2020,20970.0,95200.0,4.539818788745827,17098.0,36166.0,2.1152181541700785,30672.0,57540.0,1.875978090766823,775.0,2032.0,2.621935483870968,4198.0,28585.0,6.809194854692711,73713.0,0.28448170607626877,0.23195365810643984,0.4161002808188515,0.010513749270820615,0.05695060572761928,11.15,12.27,11.231666666666667,12.61,1306.9743464517792
Dharmapuri,2021,26024.0,116479.0,4.475830003074085,16000.0,62489.0,3.9055625,31779.0,58184.0,1.8308946159413448,234.0,588.0,2.5128205128205128,4129.0,29580.0,7.163962218454832,78166.0,0.3329324770360515,0.20469257733541438,0.4065578384463833,0.002993628943530435,0.052823478238620374,9.76,10.65,10.142727272727273,11.24,1386.1998823017682
Dharmapuri,2022,27923.0,119738.0,4.288149554131003,15801.0,45590.0,2.885260426555281,29582.0,42437.0,1.4345547968359138,119.0,324.0,2.722689075630252,4931.0,29636.0,6.010139931048469,78356.0,0.3563607126448517,0.20165654193680127,0.3775333095104395,0.0015187094798100975,0.0629307264280974,5.17,6.47,5.620909090909091,7.26,1432.9559957118793
Dindigul,2011,19158.0,103376.0,5.395970351811254,12780.0,44858.0,3.510015649452269,29156.0,50907.0,1.746021402112773,2038.0,5602.0,2.7487733071638862,40644.0,256900.0,6.320736148016928,103776.0,0.18460915818686402,0.12314986123959297,0.2809512796793093,0.019638452050570458,0.39165124884366326,5.75,7.33,7.087999999999999,9.45,1259.1755319148936
Dindigul,2012,9476.0,30806.0,3.250949767834529,7263.0,18183.0,2.503510945890128,0.0,,,0.0,,,34325.0,119289.0,3.475280407865987,51064.0,0.18557104809650635,0.14223327588908036,0.0,0.0,0.6721956760144133,4.14,7.54,7.488333333333333,9.89,1412.7957073476423
Dindigul,2013,4234.0,25758.0,6.083608880491261,4242.0,12471.0,2.93988684582744,33498.0,85437.0,2.5505104782375065,750.0,1529.0,2.038666666666667,27461.0,171566.0,6.247623902989695,70185.0,0.06032628054427584,0.06044026501389186,0.47728147039965807,0.010686044026501388,0.3912659400156729,8.93,11.23,11.305833333333334,13.07,1019.1465412837501
Dindigul,2014,12071.0,70676.0,5.85502443873747,8022.0,31017.0,3.8664921465968582,57504.0,166362.0,2.893050918196995,951.0,3670.0,3.8590956887486856,23805.0,180576.0,7.585633270321361,102353.0,0.11793498969253466,0.07837581702539251,0.5618203667699041,0.00929137397047473,0.23257745254169393,11.45,13.4,12.120833333333332,13.48,1049.2970406338845
Dindigul,2015,14989.0,71945.0,4.799853225698846,10436.0,29189.0,2.796952855500192,41524.0,92731.0,2.233190444080532,852.0,2147.0,2.5199530516431925,27889.0,266051.0,9.53963928430564,95690.0,0.1566412373288745,0.10906050789006166,0.43394294074615947,0.008903751698192078,0.2914515623367123,9.22,9.03,9.517272727272728,10.56,1157.7270352178912
Dindigul,2016,1522.0,4506.0,2.9605781865965834,3641.0,7353.0,2.019500137324911,42894.0,15803.0,0.3684198256166363,660.0,509.0,0.7712121212121212,21326.0,32383.0,1.5184751008159054,70043.0,0.021729509015890238,0.05198235369701469,0.6123952429222049,0.00942278314749511,0.30447011121739503,7.49,9.98,10.025454545454545,11.52,904.1160430021557
Dindigul,2017,8802.0,49455.0,5.618609406952965,6347.0,18108.0,2.8530014179927523,50889.0,71577.0,1.406531863467547,430.0,867.0,2.016279069767442,27116.0,240795.0,8.880181442690663,93584.0,0.09405453923747649,0.0678214224653787,0.5437788510856557,0.004594802530347068,0.28975038468114206,12.25,13.43,12.139999999999999,13.69,1033.141348948538
Dindigul,2018,9221.0,35848.0,3.8876477605465785,3471.0,9093.0,2.6197061365600693,46598.0,56288.0,1.2079488390059658,319.0,517.0,1.6206896551724137,27284.0,191585.0,7.021880955871573,86893.0,0.10611901994406914,0.039945680319473376,0.5362687443177241,0.003671181798303661,0.31399537362042973,8.75,11.65,10.956363636363635,11.85,1058.8942722658903
Dindigul,2019,8140.0,36936.0,4.537592137592138,3180.0,8926.0,2.80691823899371,54569.0,49400.0,0.9052758892411442,222.0,585.0,2.635135135135135,24498.0,175019.0,7.1442158543554575,90609.0,0.0898365504530455,0.03509585140548952,0.6022470174044521,0.002450087739628514,0.27037049299738436,9.81,11.64,11.251818181818182,12.83,1006.6847664139323
Dindigul,2020,9526.0,36423.0,3.8235355868150327,6656.0,11688.0,1.7560096153846154,48532.0,35581.0,0.733145141350037,200.0,390.0,1.95,28955.0,190644.0,6.584147815575894,93869.0,0.10148185236872663,0.07090732829794714,0.5170183979801638,0.002130628855106585,0.3084617924980558,10.34,11.72,11.106666666666667,16.47,1057.531240345588
Dindigul,2021,12750.0,54128.0,4.245333333333333,5591.0,17719.0,3.169200500804865,49090.0,29935.0,0.6097983295986963,265.0,624.0,2.3547169811320754,27649.0,223741.0,8.092191399327282,95345.0,0.13372489380670197,0.05863967696260947,0.5148670617232157,0.002779380145786355,0.2899889873616865,6.61,8.61,8.16,9.19,1102.4573915779538
Dindigul,2022,13547.0,57541.0,4.24750867350705,5064.0,10658.0,2.104660347551343,43899.0,25078.0,0.5712658602701656,226.0,502.0,2.221238938053097,31596.0,249690.0,7.902582605393087,94332.0,0.14360980367213672,0.05368273756519527,0.4653670016537336,0.0023957935801212737,0.33494466352881314,5.21,6.32,5.606363636363636,6.32,1141.356061569775
Erode,2011,33719.0,144357.0,4.281176784602153,18534.0,26053.0,1.4056868457969138,0.0,,,79.0,175.0,2.2151898734177213,12585.0,71294.0,5.664998013508145,64917.0,0.5194171018377313,0.2855030269420953,0.0,0.0012169385523052513,0.1938629326678682,5.73,6.24,6.645999999999999,7.67,1817.1680761587875
Erode,2012,6603.0,29125.0,4.410873845221869,15710.0,22070.0,1.4048376830044558,0.0,,,0.0,,,13955.0,64089.0,4.592547474023648,36268.0,0.18206132127495311,0.4331642219036065,0.0,0.0,0.3847744568214404,5.88,8.42,8.4425,10.57,1350.0468732767176
Erode,2013,30889.0,163021.0,5.277639289067306,17111.0,31852.0,1.8614926070948512,0.0,,,95.0,215.0,2.263157894736842,18259.0,111023.0,6.080453474998631,66354.0,0.4655182807366549,0.2578744310817735,0.0,0.0014317147421406397,0.27517557343943094,10.35,10.44,10.580833333333333,11.78,1752.4535069475842
Erode,2014,37192.0,176997.0,4.759007313400732,20103.0,37903.0,1.8854399840819775,0.0,,,99.0,300.0,3.0303030303030303,19551.0,131136.0,6.707380696639558,76945.0,0.4833582429007733,0.2612645396062122,0.0,0.0012866333095067906,0.2540905841835077,8.42,10.59,9.531666666666666,11.86,1775.0835012021573
Erode,2015,34339.0,146570.0,4.268324645446868,20517.0,35664.0,1.7382658283374763,0.0,,,39.0,103.0,2.641025641025641,20023.0,144975.0,7.240423512960096,74918.0,0.4583544675511893,0.2738594196321311,0.0,0.0005205691556101337,0.2672655436610694,7.16,7.96,7.908181818181817,8.92,1740.6724685656318
Erode,2016,695.0,1568.0,2.256115107913669,17164.0,12448.0,0.7252388720577954,0.0,,,57.0,161.0,2.824561403508772,14683.0,49463.0,3.3687257372471566,32599.0,0.021319672382588424,0.526519218380932,0.0,0.0017485198932482592,0.45041258934323136,6.68,9.41,9.691818181818181,12.02,1121.01291450658
