District,Date,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Ariyalur,2016-04-01,0.023358872,0.056854703,0.036218643,0.004529213,-0.0431668,0.045118056,-0.03293639,-0.055143487,-0.02512685,0.013962984,0.07908126,0.0062736305,-0.0055136606,0.06156825,-0.049981024,0.026943818,0.030944759,-0.065691166,0.042215507,0.013589581,0.035303503,-0.011014754,-0.039066065,0.03798608,-0.07867152,0.06777518,0.02997964,-0.041142303,0.02106894,-0.057907723,0.016209751,-0.04679454
Ariyalur,2016-05-01,0.022951625,0.05644946,0.035519432,0.0047647906,-0.04230032,0.043608192,-0.031319335,-0.052819833,-0.024499886,0.012957071,0.07742168,0.006673584,-0.005203655,0.05964998,-0.047694277,0.026084756,0.030209295,-0.06365311,0.041517064,0.013210249,0.03449709,-0.010398661,-0.037567426,0.03681997,-0.07673807,0.066166446,0.029015958,-0.040223658,0.021314342,-0.057734095,0.0156522,-0.04554761
Ariyalur,2016-06-01,0.02305254,0.058757834,0.035907697,0.0048265303,-0.042317856,0.04229988,-0.029748783,-0.050831605,-0.023825403,0.0110177975,0.07841421,0.00733499,-0.0049689035,0.060474467,-0.04580715,0.026116937,0.030842591,-0.06275935,0.042153783,0.012835408,0.033866063,-0.010288084,-0.03618777,0.03667852,-0.07746771,0.066498585,0.029070394,-0.040728435,0.022097724,-0.060427073,0.015572209,-0.04645658
Ariyalur,2016-07-01,0.023910075,0.06542052,0.03811994,0.0045729205,-0.0438581,0.04139747,-0.028299484,-0.04949784,-0.023178546,0.0077832122,0.08361319,0.008350504,-0.0047987513,0.065587044,-0.04471492,0.027612725,0.033679016,-0.06382794,0.045035258,0.012479284,0.033569556,-0.01100205,-0.035086017,0.038145572,-0.0825072,0.06995476,0.03062472,-0.04352809,0.023671757,-0.06771336,0.01624854,-0.050707866
Ariyalur,2016-08-01,0.025236206,0.07271116,0.04079012,0.004232604,-0.045781665,0.041108638,-0.027635746,-0.049285863,-0.022735044,0.0045421124,0.09010774,0.009433623,-0.0048946743,0.07253253,-0.044399988,0.029640932,0.037251163,-0.06588951,0.048362505,0.012383267,0.033686936,-0.011995644,-0.03468471,0.04048133,-0.088798955,0.07456381,0.03314697,-0.04707304,0.025397288,-0.07571079,0.017394392,-0.056436557
Ariyalur,2016-09-01,0.026295358,0.07584819,0.042073533,0.0040931413,-0.046562918,0.04131579,-0.028074991,-0.05009596,-0.022651114,0.0027708467,0.09372101,0.010091207,-0.0053029396,0.07726299,-0.04448451,0.030815745,0.0394309,-0.06722102,0.049866,0.012688261,0.034025155,-0.012462502,-0.035031974,0.042280708,-0.09217561,0.0773258,0.035362486,-0.04909103,0.026434427,-0.0793945,0.018369867,-0.0604136
Ariyalur,2016-10-01,0.02698243,0.07663467,0.042786423,0.0039271507,-0.047085848,0.04228265,-0.029424174,-0.05201254,-0.023087986,0.002620737,0.09573882,0.010098716,-0.0057657026,0.08021593,-0.04575079,0.031702664,0.04068805,-0.06869436,0.050651986,0.013172373,0.034645297,-0.012833545,-0.036187902,0.04368722,-0.094194904,0.07913201,0.036993127,-0.050246593,0.026752755,-0.08030325,0.019123144,-0.06276525
Ariyalur,2016-11-01,0.027416414,0.076910295,0.04340613,0.0037060452,-0.047662616,0.043450806,-0.030841213,-0.054053724,-0.023704195,0.003138833,0.09721665,0.0097593125,-0.0060642175,0.082158774,-0.04747492,0.032497752,0.041537493,-0.07021142,0.0513991,0.013562932,0.035273653,-0.013215387,-0.037516817,0.044809733,-0.095821105,0.08059285,0.03804862,-0.051112168,0.02675516,-0.080497116,0.0196325,-0.06420672
Ariyalur,2017-01-01,0.027698781,0.07635714,0.0439841,0.0033631749,-0.048829425,0.045840334,-0.033195447,-0.057381164,-0.024672337,0.0054851784,0.098523214,0.008770522,-0.0063442755,0.0833697,-0.051278427,0.03339746,0.04177028,-0.07302043,0.051935904,0.01393574,0.036397293,-0.014040403,-0.039804313,0.04603632,-0.0975402,0.08218435,0.038618647,-0.051860288,0.02593694,-0.07939944,0.020087115,-0.064583816
Ariyalur,2017-02-01,0.027832327,0.07624234,0.04471737,0.0029583182,-0.050295964,0.048333507,-0.035356183,-0.06049368,-0.025602087,0.008178017,0.099907406,0.0076311636,-0.006445674,0.084057875,-0.055416342,0.03435321,0.041824706,-0.07605825,0.052671727,0.014107847,0.03748868,-0.015043483,-0.041959994,0.047045585,-0.09942624,0.083805405,0.03874676,-0.052605685,0.024924185,-0.0785139,0.020321181,-0.064411655
Ariyalur,2017-03-01,0.027823512,0.076453306,0.045256443,0.0026734008,-0.051414385,0.049944114,-0.036546893,-0.062261194,-0.026136996,0.010082727,0.100819774,0.006820392,-0.006378804,0.08413286,-0.05822503,0.034969047,0.04171173,-0.078095645,0.053239044,0.014063611,0.038142968,-0.0157888,-0.043212634,0.047541734,-0.1006949,0.08484474,0.038504023,-0.053074766,0.024160909,-0.078122295,0.020311207,-0.063927345
Ariyalur,2017-04-01,0.027821543,0.0773353,0.04578449,0.002480809,-0.052326664,0.050813645,-0.03696702,-0.06299016,-0.026323443,0.01106208,0.10176517,0.006398293,-0.006243794,0.08431719,-0.059883535,0.03544342,0.041737318,-0.07943772,0.053825904,0.0138858985,0.038464796,-0.016362514,-0.04373053,0.047822036,-0.101847544,0.08570951,0.03825597,-0.053553693,0.023752125,-0.078602776,0.020248132,-0.0636959
